300,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",04/16/10,"Centro de Formação de Osasco",05
301,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",04/23/10,"Centro de Formação de Osasco",06
302,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",05/30/10,"Centro de Formação de Osasco",07
303,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",05/07/10,"Centro de Formação de Osasco",08
304,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",05/14/10,"Centro de Formação de Osasco",09
305,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",05/21/10,"Centro de Formação de Osasco",10
306,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",05/28/10,"Centro de Formação de Osasco",11
307,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",06/11/10,"Centro de Formação de Osasco",12
308,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",06/18/10,"Centro de Formação de Osasco",13
309,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",06/18/10,"Centro de Formação de Osasco",14
310,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",08/06/10,"Centro de Formação de Osasco",15
311,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",08/06/10,"Centro de Formação de Osasco",16
312,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",08/20/10,"Centro de Formação de Osasco",17
313,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",08/20/10,"Centro de Formação de Osasco",18
314,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",09/03/10,"Centro de Formação de Osasco",19
315,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",09/10/10,"Centro de Formação de Osasco",20
316,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",09/17/10,"Centro de Formação de Osasco",21
317,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",09/24/10,"Centro de Formação de Osasco",22
318,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",10/01/10,"Centro de Formação de Osasco",23
319,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",10/08/10,"Centro de Formação de Osasco",24
320,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",11/05/10,"Centro de Formação de Osasco",25
321,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",11/05/10,"Centro de Formação de Osasco",27
322,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",11/12/10,"Centro de Formação de Osasco",28
323,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",11/19/10,"Centro de Formação de Osasco",29
324,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",11/26/10,"Centro de Formação de Osasco",30
325,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",11/26/10,"Centro de Formação de Osasco",31
364,"Formação Continuada de Educadores sobre os Princípios do MOVA",06/19/09,"Centro de Formação de Osasco",01
365,"Formação Continuada de Educadores sobre os Princípios do MOVA",06/26/09,"Centro de Formação de Osasco",02
366,"Formação Continuada de Educadores sobre os Princípios do MOVA",08/21/09,"Centro de Formação de Osasco",03
367,"Formação Continuada de Educadores sobre os Princípios do MOVA",09/10/09,"Centro de Formação de Osasco",04
368,"Formação Continuada para Coordenadores do MOVA",08/14/09,"Centro de Formação de Osasco",05
369,"Relatório da Formação de Educadores do MOVA",09/11/09,"Centro de Formação de Osasco",06
370,"Relatório da Formação de Educadores do MOVA",09/18/09,"Centro de Formação de Osasco",07
371,"Formação Continuada de Educadores e Coordenadores do MOVA",09/25/09,"Centro de Formação de Osasco",08
372,"Formação Continuada Educadores do MOVA",10/02/09,"Centro de Formação de Osasco",09
373,"Formação Continuada de Educadores e Coordenadores do MOVA",10/16/09,"Centro de Formação de Osasco",10
374,"Formação Continuada de Professores e Gestores do MOVA",10/21/09,"Centro de Formação de Osasco",11
